rank,name,peak_elo,peak_date,current_elo,elo_vs_peak,fights,last_fight
270,Marlon Moraes,1609.98,2019-12-14,1513.47,-96.5,11,2022-03-12
271,Yan Xiaonan,1609.95,2024-11-23,1588.01,-21.94,13,2025-04-12
272,Jimmie Rivera,1609.93,2017-07-22,1524.46,-85.47,11,2021-02-27
273,Nathaniel Wood,1609.92,2025-10-25,1609.92,0.0,13,2025-10-25
274,Dominick Cruz,1609.51,2016-06-04,1536.98,-72.53,10,2022-08-13
275,Mairbek Taisumov,1609.2,2018-09-15,1525.03,-84.17,9,2019-09-07
276,Gillian Robertson,1608.82,2025-05-03,1608.82,0.0,19,2025-05-03
277,Joe Pyfer,1608.74,2025-10-04,1608.74,0.0,7,2025-10-04
278,Uriah Hall,1607.93,2021-04-24,1535.71,-72.22,19,2022-07-02
279,Amanda Lemos,1607.45,2022-11-05,1576.53,-30.92,14,2025-09-13
280,Michael Johnson,1607.4,2015-02-22,1527.55,-79.85,32,2026-03-07
281,Youssef Zalal,1607.33,2025-10-04,1607.33,0.0,12,2025-10-04
282,Reinier de Ridder,1607.2,2025-07-26,1570.06,-37.14,6,2026-03-07
283,James Krause,1607.03,2019-11-16,1537.15,-69.88,13,2020-10-17
284,Muslim Salikhov,1606.93,2025-07-26,1577.95,-28.97,14,2025-11-08
285,Brandon Royval,1606.64,2024-10-12,1561.66,-44.99,12,2025-12-13
286,Mike Pyle,1606.59,2013-05-25,1489.22,-117.38,19,2018-03-03
287,Ricco Rodriguez,1606.55,2002-09-27,1500.39,-106.15,7,2003-11-21
288,Nik Lentz,1606.54,2019-02-17,1519.17,-87.37,25,2021-01-23
289,Raoni Barcelos,1606.53,2025-11-08,1606.53,0.0,14,2025-11-08
290,Alan Belcher,1605.7,2012-05-05,1504.49,-101.21,15,2013-04-27
291,Mackenzie Dern,1605.66,2025-10-25,1605.66,0.0,16,2025-10-25
292,Forrest Griffin,1605.56,2011-02-05,1505.6,-99.96,15,2012-07-07
293,Kyoji Horiguchi,1605.53,2016-11-19,1572.35,-33.18,10,2026-02-07
294,Olivier Aubin-Mercier,1605.47,2018-04-07,1507.53,-97.94,12,2019-07-27
295,Cheick Kongo,1605.37,2011-10-29,1504.61,-100.76,18,2013-04-27
296,Clay Guida,1605.36,2011-06-04,1478.06,-127.3,37,2024-12-07
297,Dan Ige,1604.87,2020-05-16,1526.24,-78.63,21,2026-02-21
298,Frank Shamrock,1604.6,1999-09-24,1500.36,-104.24,5,1999-09-24
299,Tatiana Suarez,1604.45,2019-06-08,1599.12,-5.33,9,2025-09-13
300,Antonio Carlos Junior,1604.41,2018-04-14,1511.07,-93.34,13,2021-01-23
301,John Dodson,1604.23,2017-04-22,1518.61,-85.62,17,2020-08-15
302,Said Nurmagomedov,1604.12,2022-12-17,1545.2,-58.92,11,2025-07-26
303,Sean Woodson,1603.89,2024-12-14,1576.05,-27.84,10,2025-04-12
304,Evan Dunham,1603.72,2016-09-17,1508.28,-95.44,21,2020-06-06
305,Alejandro Perez,1603.58,2018-07-14,1518.75,-84.84,13,2022-02-26
306,Alex Perez,1603.57,2020-06-06,1540.31,-63.26,14,2026-01-24
307,Alonzo Menifield,1603.43,2023-12-16,1562.23,-41.21,17,2025-11-22
308,Mike Malott,1603.43,2025-10-18,1603.43,0.0,7,2025-10-18
309,Ovince Saint Preux,1602.91,2015-04-18,1504.32,-98.59,28,2024-10-05
310,Sodiq Yusuff,1602.63,2022-10-01,1531.79,-70.84,10,2025-05-17
311,Alex Caceres,1602.63,2023-06-03,1550.3,-52.33,30,2024-05-11
312,Carlos Condit,1602.44,2012-02-04,1510.02,-92.42,19,2021-07-10
313,David Teymur,1602.43,2018-06-01,1520.51,-81.92,6,2019-02-02
314,Matt Mitrione,1602.33,2014-12-13,1506.7,-95.64,14,2016-01-17
315,Chepe Mariscal,1602.28,2025-03-01,1579.31,-22.98,6,2025-11-15
316,Chael Sonnen,1602.03,2012-01-28,1506.48,-95.55,14,2013-11-16
317,Pedro Rizzo,1601.94,2001-02-23,1500.56,-101.39,14,2003-11-21
318,Leonardo Santos,1601.79,2020-07-11,1514.85,-86.95,11,2022-08-20
319,John Hathaway,1601.59,2012-09-29,1506.14,-95.45,9,2014-03-01
320,Omari Akhmedov,1601.53,2019-12-14,1535.38,-66.15,15,2021-07-10
321,Serghei Spivac,1600.94,2024-08-10,1577.55,-23.39,15,2026-02-21
322,JunYong Park,1600.79,2025-06-21,1575.6,-25.2,13,2025-10-25
323,Joanderson Brito,1600.62,2024-05-04,1571.4,-29.22,9,2025-12-13
324,Jairzinho Rozenstruik,1599.93,2020-08-15,1570.67,-29.25,15,2025-02-01
325,Chase Hooper,1599.59,2025-04-12,1571.58,-28.01,12,2025-08-16
326,Rousimar Palhares,1599.51,2012-01-14,1505.83,-93.68,12,2013-10-09
327,Ludovit Klein,1599.41,2024-09-28,1596.33,-3.08,12,2025-10-25
328,King Green,1599.17,2023-10-07,1581.33,-17.84,29,2026-02-28
329,Khalil Rountree Jr.,1599.09,2025-06-21,1576.46,-22.63,18,2025-10-04
330,Chris Duncan,1599.07,2025-12-06,1599.07,0.0,7,2025-12-06
331,Cristiane Justino,1598.65,2018-03-03,1527.81,-70.84,7,2019-07-27
332,Nikita Krylov,1598.62,2023-03-11,1557.64,-40.97,21,2026-01-24
333,Matt Wiman,1598.48,2012-09-29,1465.02,-133.46,18,2020-12-05
334,Adrian Yanez,1598.3,2022-06-18,1548.25,-50.04,9,2024-12-14
335,Brock Lesnar,1598.18,2010-07-03,1502.82,-95.36,8,2016-07-09
336,Germaine de Randamie,1598.12,2020-10-03,1529.51,-68.6,10,2024-04-06
337,Ryan LaFlare,1597.9,2017-02-11,1515.92,-81.98,10,2018-10-06
338,Daniel Kelly,1597.49,2017-03-04,1505.67,-91.82,10,2018-05-27
339,Ryan Spann,1597.46,2022-11-12,1543.6,-53.86,15,2025-07-19
340,Vinicius Oliveira,1597.39,2025-07-19,1576.96,-20.43,5,2026-02-07
341,Manuel Torres,1597.37,2025-12-06,1597.37,0.0,6,2025-12-06
342,Paul Craig,1597.34,2022-03-19,1495.89,-101.45,21,2025-09-06
343,Jeremy Stephens,1597.19,2018-02-24,1470.11,-127.08,35,2025-05-03
344,Cynthia Calvillo,1597.17,2020-06-13,1486.54,-110.63,13,2023-04-08
345,Shane Burgos,1597.04,2019-11-02,1549.73,-47.31,11,2022-07-16
346,Nicolas Dalby,1596.9,2023-11-04,1572.41,-24.49,15,2025-11-22
347,Krzysztof Jotko,1596.86,2016-11-19,1540.16,-56.7,17,2022-10-01
348,Jimi Manuwa,1596.69,2017-03-18,1501.92,-94.77,12,2019-06-01
349,Matheus Nicolau,1596.68,2022-12-03,1520.45,-76.23,11,2024-10-19
350,Zak Cummings,1596.46,2019-05-18,1551.71,-44.76,14,2023-04-15
351,Julianna Pena,1596.38,2021-12-11,1565.05,-31.33,12,2025-06-07
352,Andre Petroski,1596.35,2023-08-19,1540.63,-55.72,12,2025-09-27
353,Asu Almabayev,1595.98,2025-11-22,1595.98,0.0,7,2025-11-22
